VALOR_A_PAGAR,TAXA,PRAZO_PAGAMENTO,RENDA_MES_ANTERIOR,NO_FUNCIONARIOS,FLAG_PF,PORTE,SEGMENTO_INDUSTRIAL_Comércio,SEGMENTO_INDUSTRIAL_Indústria,SEGMENTO_INDUSTRIAL_Serviços
26200.15,4.99,17,43273.0,144.0,0,2.0,0.0,1.0,0.0
25550.15,4.99,16,43273.0,144.0,0,2.0,0.0,1.0,0.0
79103.24,4.99,17,43273.0,144.0,0,2.0,0.0,1.0,0.0
21983.18,6.99,22,362461.0,137.0,0,3.0,0.0,0.0,1.0
27846.41,6.99,22,362461.0,137.0,0,3.0,0.0,0.0,1.0
25701.04,6.99,20,362461.0,137.0,0,3.0,0.0,0.0,1.0
27091.9,6.99,24,362461.0,137.0,0,3.0,0.0,0.0,1.0
21882.58,6.99,22,362461.0,137.0,0,3.0,0.0,0.0,1.0
27091.9,6.99,24,362461.0,137.0,0,3.0,0.0,0.0,1.0
70179.05,11.99,17,66650.0,131.0,0,2.0,0.0,1.0,0.0
42097.1,11.99,17,66650.0,131.0,0,2.0,0.0,1.0,0.0
71924.2,11.99,17,66650.0,131.0,0,2.0,0.0,1.0,0.0
27900.53,5.99,17,57675.0,143.0,0,3.0,0.0,0.0,1.0
101414.0,6.99,19,347153.0,172.0,0,2.0,1.0,0.0,0.0
90671.8,6.99,17,347153.0,172.0,0,2.0,1.0,0.0,0.0
70254.1,6.99,19,347153.0,172.0,0,2.0,1.0,0.0,0.0
47173.99,5.99,22,98492.0,118.0,0,3.0,1.0,0.0,0.0
46269.66,5.99,21,98492.0,118.0,0,3.0,1.0,0.0,0.0
25832.5,8.99,17,80201.0,110.0,0,1.0,0.0,0.0,1.0
50690.0,8.99,19,80201.0,110.0,0,1.0,0.0,0.0,1.0
25820.0,8.99,16,80201.0,110.0,0,1.0,0.0,0.0,1.0
84844.0,5.99,22,70038.0,135.0,0,3.0,1.0,0.0,0.0
255024.0,5.99,22,70038.0,135.0,0,3.0,1.0,0.0,0.0
63465.7,5.99,22,70038.0,135.0,0,3.0,1.0,0.0,0.0
63118.5,5.99,22,70038.0,135.0,0,3.0,1.0,0.0,0.0
85008.0,5.99,22,70038.0,135.0,0,3.0,1.0,0.0,0.0
127348.0,5.99,22,70038.0,135.0,0,3.0,1.0,0.0,0.0
127348.0,5.99,22,70038.0,135.0,0,3.0,1.0,0.0,0.0
106982.51,5.99,75,90901.0,149.0,0,3.0,0.0,0.0,1.0
148970.51,5.99,75,90901.0,149.0,0,3.0,0.0,0.0,1.0
236869.7,5.99,77,90901.0,149.0,0,3.0,0.0,0.0,1.0
238619.25,5.99,77,90901.0,149.0,0,3.0,0.0,0.0,1.0
235238.25,5.99,77,90901.0,149.0,0,3.0,0.0,0.0,1.0
106982.51,5.99,76,90901.0,149.0,0,3.0,0.0,0.0,1.0
236407.05,5.99,81,90901.0,149.0,0,3.0,0.0,0.0,1.0
101411.0,5.99,77,90901.0,149.0,0,3.0,0.0,0.0,1.0
121830.0,5.99,77,90901.0,149.0,0,3.0,0.0,0.0,1.0
46049.8,4.99,16,261241.0,130.0,0,3.0,1.0,0.0,0.0
28815.0,4.99,16,261241.0,130.0,0,3.0,1.0,0.0,0.0
56575.0,4.99,16,261241.0,130.0,0,3.0,1.0,0.0,0.0
56575.1,4.99,18,261241.0,130.0,0,3.0,1.0,0.0,0.0
181035.0,5.99,32,382323.0,121.0,0,2.0,0.0,1.0,0.0
231330.9,5.99,30,382323.0,121.0,0,2.0,0.0,1.0,0.0
231322.5,5.99,30,382323.0,121.0,0,2.0,0.0,1.0,0.0
231397.9,5.99,30,382323.0,121.0,0,2.0,0.0,1.0,0.0
89364.0,5.99,32,382323.0,121.0,0,2.0,0.0,1.0,0.0
181035.0,5.99,30,382323.0,121.0,0,2.0,0.0,1.0,0.0
92529.0,5.99,30,382323.0,121.0,0,2.0,0.0,1.0,0.0
181035.0,5.99,34,382323.0,121.0,0,2.0,0.0,1.0,0.0
231397.9,5.99,34,382323.0,121.0,0,2.0,0.0,1.0,0.0
231397.9,5.99,33,382323.0,121.0,0,2.0,0.0,1.0,0.0
26140.0,6.99,18,189185.0,118.0,0,1.0,0.0,1.0,0.0
130899.0,6.99,18,189185.0,118.0,0,1.0,0.0,1.0,0.0
218165.0,6.99,18,189185.0,118.0,0,1.0,0.0,1.0,0.0
64747.5,6.99,20,189185.0,118.0,0,1.0,0.0,1.0,0.0
137777.15,6.99,16,244986.0,119.0,0,1.0,0.0,1.0,0.0
138226.55,6.99,16,244986.0,119.0,0,1.0,0.0,1.0,0.0
137777.15,6.99,16,244986.0,119.0,0,1.0,0.0,1.0,0.0
137926.95,6.99,18,244986.0,119.0,0,1.0,0.0,1.0,0.0
27242.85,4.99,24,109176.0,115.0,0,2.0,0.0,0.0,1.0
945.6,4.99,30,109176.0,115.0,0,2.0,0.0,0.0,1.0
41248.25,6.99,16,270210.0,125.0,0,3.0,1.0,0.0,0.0
57780.44,6.99,19,270210.0,125.0,0,3.0,1.0,0.0,0.0
26700.0,11.99,18,424656.0,89.0,0,1.0,0.0,0.0,1.0
28067.6,5.99,18,385397.0,142.0,0,0.0,1.0,0.0,0.0
21306.05,5.99,17,385397.0,142.0,0,0.0,1.0,0.0,0.0
19176.9,5.99,17,385397.0,142.0,0,0.0,1.0,0.0,0.0
21561.91,5.99,17,385397.0,142.0,0,0.0,1.0,0.0,0.0
28210.61,5.99,17,385397.0,142.0,0,0.0,1.0,0.0,0.0
21562.16,5.99,17,385397.0,142.0,0,0.0,1.0,0.0,0.0
28315.69,5.99,17,385397.0,142.0,0,0.0,1.0,0.0,0.0
20516.57,5.99,18,385397.0,142.0,0,0.0,1.0,0.0,0.0
55597.76,5.99,17,385397.0,142.0,0,0.0,1.0,0.0,0.0
16974.39,5.99,17,385397.0,142.0,0,0.0,1.0,0.0,0.0
42684.97,5.99,17,385397.0,142.0,0,0.0,1.0,0.0,0.0
28641.24,5.99,17,385397.0,142.0,0,0.0,1.0,0.0,0.0
97413.05,5.99,19,385397.0,142.0,0,0.0,1.0,0.0,0.0
98197.35,5.99,17,385397.0,142.0,0,0.0,1.0,0.0,0.0
20281.8,5.99,17,385397.0,142.0,0,0.0,1.0,0.0,0.0
28576.4,5.99,17,385397.0,142.0,0,0.0,1.0,0.0,0.0
111292.27,4.99,19,112017.0,125.0,0,2.0,1.0,0.0,0.0
47454.9,6.99,16,815262.0,157.0,0,3.0,0.0,1.0,0.0
75192.25,4.99,18,86058.0,147.0,0,1.0,0.0,1.0,0.0
200.0,5.99,15,199347.0,108.0,0,1.0,0.0,0.0,1.0
189476.7,4.99,19,349847.0,141.0,0,1.0,0.0,0.0,1.0
150492.75,4.99,17,349847.0,141.0,0,1.0,0.0,0.0,1.0
55336.49,8.99,22,324942.0,127.0,0,3.0,0.0,0.0,1.0
55341.52,8.99,22,324942.0,127.0,0,3.0,0.0,0.0,1.0
43482.33,8.99,22,324942.0,127.0,0,3.0,0.0,0.0,1.0
42478.87,8.99,24,324942.0,127.0,0,3.0,0.0,0.0,1.0
42275.16,8.99,24,324942.0,127.0,0,3.0,0.0,0.0,1.0
43482.33,8.99,22,324942.0,127.0,0,3.0,0.0,0.0,1.0
55532.66,8.99,22,324942.0,127.0,0,3.0,0.0,0.0,1.0
33983.1,8.99,24,324942.0,127.0,0,3.0,0.0,0.0,1.0
27989.51,8.99,24,324942.0,127.0,0,3.0,0.0,0.0,1.0
55229.07,8.99,24,324942.0,127.0,0,3.0,0.0,0.0,1.0
88378.76,4.99,20,120929.0,137.0,0,3.0,1.0,0.0,0.0
25670.0,4.99,17,291646.0,131.0,0,3.0,0.0,1.0,0.0
25162.96,4.99,17,291646.0,131.0,0,3.0,0.0,1.0,0.0
25620.0,4.99,17,291646.0,131.0,0,3.0,0.0,1.0,0.0
27056.35,11.99,18,54346.0,119.0,0,2.0,1.0,0.0,0.0
27056.35,11.99,17,54346.0,119.0,0,2.0,1.0,0.0,0.0
27151.35,11.99,17,54346.0,119.0,0,2.0,1.0,0.0,0.0
27131.35,11.99,17,54346.0,119.0,0,2.0,1.0,0.0,0.0
84515.07,5.99,25,46369.0,119.0,0,2.0,0.0,0.0,1.0
24841.47,5.99,20,46369.0,119.0,0,2.0,0.0,0.0,1.0
69643.15,5.99,25,46369.0,119.0,0,2.0,0.0,0.0,1.0
69642.45,5.99,26,46369.0,119.0,0,2.0,0.0,0.0,1.0
88847.3,8.99,18,307285.0,123.0,0,3.0,1.0,0.0,0.0
63566.9,8.99,17,307285.0,123.0,0,3.0,1.0,0.0,0.0
44523.65,8.99,16,307285.0,123.0,0,3.0,1.0,0.0,0.0
67093.45,8.99,16,307285.0,123.0,0,3.0,1.0,0.0,0.0
107740.55,8.99,19,307285.0,123.0,0,3.0,1.0,0.0,0.0
62193.3,4.99,16,430914.0,97.0,0,2.0,0.0,1.0,0.0
25543.15,4.99,16,430914.0,97.0,0,2.0,0.0,1.0,0.0
20426.5,4.99,18,430914.0,97.0,0,2.0,0.0,1.0,0.0
46950.6,6.99,18,230047.0,111.0,0,2.0,1.0,0.0,0.0
41819.0,6.99,16,230047.0,111.0,0,2.0,1.0,0.0,0.0
77508.69,5.99,20,392613.0,100.0,0,3.0,1.0,0.0,0.0
56074.94,5.99,18,392613.0,100.0,0,3.0,1.0,0.0,0.0
21785.24,5.99,21,392613.0,100.0,0,3.0,1.0,0.0,0.0
126699.01,5.99,24,129844.0,109.0,0,2.0,1.0,0.0,0.0
149698.51,6.99,22,571653.0,124.0,0,3.0,1.0,0.0,0.0
118796.18,5.99,16,460955.0,136.0,0,3.0,0.0,0.0,1.0
63382.5,8.99,18,175050.0,138.0,0,3.0,0.0,0.0,1.0
42155.0,8.99,16,175050.0,138.0,0,3.0,0.0,0.0,1.0
42304.95,8.99,16,175050.0,138.0,0,3.0,0.0,0.0,1.0
41301.0,8.99,17,402173.0,110.0,0,1.0,1.0,0.0,0.0
204291.99,6.99,18,482663.0,149.0,0,2.0,0.0,1.0,0.0
184269.31,6.99,21,482663.0,149.0,0,2.0,0.0,1.0,0.0
999.0,6.99,30,482663.0,149.0,0,2.0,0.0,1.0,0.0
183942.97,6.99,21,482663.0,149.0,0,2.0,0.0,1.0,0.0
29581.45,4.99,18,757544.0,126.0,0,3.0,0.0,1.0,0.0
63864.95,5.99,19,381423.0,110.0,0,2.0,0.0,0.0,1.0
26068.2,5.99,18,381423.0,110.0,0,2.0,0.0,0.0,1.0
89588.0,5.99,16,230902.0,105.0,0,2.0,0.0,0.0,1.0
50834.2,5.99,16,230902.0,105.0,0,2.0,0.0,0.0,1.0
115379.85,5.99,17,230902.0,105.0,0,2.0,0.0,0.0,1.0
94649.23,6.99,16,286870.0,167.0,0,1.0,1.0,0.0,0.0
40321.9,6.99,18,286870.0,167.0,0,1.0,1.0,0.0,0.0
112814.75,6.99,16,135311.0,107.0,0,3.0,1.0,0.0,0.0
128123.55,6.99,16,135311.0,107.0,0,3.0,1.0,0.0,0.0
69101.35,6.99,16,135311.0,107.0,0,3.0,1.0,0.0,0.0
935.5,6.99,30,135311.0,107.0,0,3.0,1.0,0.0,0.0
131185.19,6.99,16,135311.0,107.0,0,3.0,1.0,0.0,0.0
131635.05,6.99,17,135311.0,107.0,0,3.0,1.0,0.0,0.0
66180.0,5.99,30,367588.0,152.0,0,1.0,0.0,0.0,1.0
43161.5,8.99,16,166840.0,136.0,0,1.0,0.0,1.0,0.0
53349.8,8.99,16,166840.0,136.0,0,1.0,0.0,1.0,0.0
26744.4,8.99,16,166840.0,136.0,0,1.0,0.0,1.0,0.0
26744.4,8.99,16,166840.0,136.0,0,1.0,0.0,1.0,0.0
26144.23,8.99,21,183976.0,157.0,0,3.0,1.0,0.0,0.0
26596.21,8.99,20,183976.0,157.0,0,3.0,1.0,0.0,0.0
71086.72,6.99,22,198691.0,149.0,0,1.0,1.0,0.0,0.0
72278.84,6.99,21,198691.0,149.0,0,1.0,1.0,0.0,0.0
64410.0,5.99,17,78634.0,158.0,0,3.0,0.0,0.0,1.0
75762.0,5.99,16,78634.0,158.0,0,3.0,0.0,0.0,1.0
64410.0,5.99,16,78634.0,158.0,0,3.0,0.0,0.0,1.0
64410.0,5.99,19,78634.0,158.0,0,3.0,0.0,0.0,1.0
51616.8,5.99,16,78634.0,158.0,0,3.0,0.0,0.0,1.0
26997.25,5.99,16,78634.0,158.0,0,3.0,0.0,0.0,1.0
64070.85,5.99,18,78634.0,158.0,0,3.0,0.0,0.0,1.0
945.6,6.99,30,335335.0,100.0,0,3.0,0.0,0.0,1.0
45018.1,5.99,18,159175.0,146.0,0,2.0,0.0,0.0,1.0
45111.6,5.99,17,159175.0,146.0,0,2.0,0.0,0.0,1.0
96472.78,11.99,17,111543.0,163.0,0,3.0,0.0,0.0,1.0
672.3,11.99,30,296006.0,91.0,0,1.0,1.0,0.0,0.0
31931.68,11.99,16,296006.0,91.0,0,1.0,1.0,0.0,0.0
45541.8,11.99,16,296006.0,91.0,0,1.0,1.0,0.0,0.0
131313.75,8.99,16,162677.0,108.0,0,3.0,1.0,0.0,0.0
49995.0,8.99,18,162677.0,108.0,0,3.0,1.0,0.0,0.0
41264.99,5.99,25,874018.0,113.0,0,3.0,1.0,0.0,0.0
22395.47,5.99,20,463379.0,99.0,0,2.0,1.0,0.0,0.0
22395.47,5.99,24,463379.0,99.0,0,2.0,1.0,0.0,0.0
123099.0,5.99,17,353147.0,111.0,0,2.0,0.0,0.0,1.0
82076.0,5.99,16,353147.0,111.0,0,2.0,0.0,0.0,1.0
61559.5,5.99,16,353147.0,111.0,0,2.0,0.0,0.0,1.0
126376.05,5.99,16,353147.0,111.0,0,2.0,0.0,0.0,1.0
39721.55,5.99,17,353147.0,111.0,0,2.0,0.0,0.0,1.0
93695.49,4.99,46,117495.0,119.0,0,3.0,1.0,0.0,0.0
1182.0,4.99,30,117495.0,119.0,0,3.0,1.0,0.0,0.0
20874.22,4.99,45,117495.0,119.0,0,3.0,1.0,0.0,0.0
198753.79,5.99,20,123463.0,145.0,0,2.0,1.0,0.0,0.0
109081.9,5.99,16,123463.0,145.0,0,2.0,1.0,0.0,0.0
40296.7,5.99,18,180991.0,125.0,0,3.0,0.0,1.0,0.0
20148.35,5.99,16,180991.0,125.0,0,3.0,0.0,1.0,0.0
24562.15,5.99,16,180991.0,125.0,0,3.0,0.0,1.0,0.0
73611.6,5.99,16,180991.0,125.0,0,3.0,0.0,1.0,0.0
20148.35,5.99,16,180991.0,125.0,0,3.0,0.0,1.0,0.0
40052.7,5.99,19,180991.0,125.0,0,3.0,0.0,1.0,0.0
45344.5,6.99,16,107292.0,123.0,0,3.0,0.0,0.0,1.0
799.0,6.99,30,107292.0,123.0,0,3.0,0.0,0.0,1.0
123488.25,6.99,16,107292.0,123.0,0,3.0,0.0,0.0,1.0
21032.5,6.99,16,107292.0,123.0,0,3.0,0.0,0.0,1.0
123223.85,6.99,16,107292.0,123.0,0,3.0,0.0,0.0,1.0
119635.4,6.99,18,107292.0,123.0,0,3.0,0.0,0.0,1.0
39360.9,5.99,18,553609.0,144.0,0,2.0,1.0,0.0,0.0
29520.68,5.99,16,553609.0,144.0,0,2.0,1.0,0.0,0.0
67363.0,4.99,16,477033.0,163.0,0,2.0,0.0,0.0,0.0
100.0,6.99,15,433296.0,137.0,0,0.0,1.0,0.0,0.0
18720.0,6.99,15,433296.0,137.0,0,0.0,1.0,0.0,0.0
41753.0,5.99,25,148123.0,113.0,0,2.0,0.0,0.0,1.0
57438.58,5.99,17,118233.0,110.0,0,3.0,0.0,0.0,1.0
143250.05,5.99,17,118233.0,110.0,0,3.0,0.0,0.0,1.0
999.0,5.99,30,118233.0,110.0,0,3.0,0.0,0.0,1.0
152316.45,5.99,18,118233.0,110.0,0,3.0,0.0,0.0,1.0
56538.6,5.99,16,118233.0,110.0,0,3.0,0.0,0.0,1.0
20343.51,11.99,15,403061.0,125.0,0,1.0,0.0,1.0,0.0
51525.75,8.99,20,471942.0,99.0,0,3.0,1.0,0.0,0.0
899.0,8.99,30,471942.0,99.0,0,3.0,1.0,0.0,0.0
30356.37,8.99,20,471942.0,99.0,0,3.0,1.0,0.0,0.0
82816.05,6.99,18,178023.0,137.0,0,3.0,1.0,0.0,0.0
82470.9,6.99,16,178023.0,137.0,0,3.0,1.0,0.0,0.0
54730.6,6.99,17,178023.0,137.0,0,3.0,1.0,0.0,0.0
91012.7,6.99,18,305035.0,141.0,0,2.0,0.0,0.0,1.0
112162.2,6.99,17,305035.0,141.0,0,2.0,0.0,0.0,1.0
65317.65,6.99,16,305035.0,141.0,0,2.0,0.0,0.0,1.0
65091.15,6.99,17,305035.0,141.0,0,2.0,0.0,0.0,1.0
61096.0,6.99,36,912367.0,154.0,0,3.0,0.0,1.0,0.0
173661.8,4.99,16,120924.0,143.0,0,2.0,1.0,0.0,0.0
141916.25,4.99,16,120924.0,143.0,0,2.0,1.0,0.0,0.0
101368.75,4.99,16,120924.0,143.0,0,2.0,1.0,0.0,0.0
173661.8,4.99,16,120924.0,143.0,0,2.0,1.0,0.0,0.0
173661.8,4.99,16,120924.0,143.0,0,2.0,1.0,0.0,0.0
173661.8,4.99,17,120924.0,143.0,0,2.0,1.0,0.0,0.0
50801.6,4.99,16,120924.0,143.0,0,2.0,1.0,0.0,0.0
98067.84,4.99,16,120924.0,143.0,0,2.0,1.0,0.0,0.0
148634.5,6.99,20,247289.0,86.0,0,1.0,0.0,0.0,1.0
19605.0,6.99,21,247289.0,86.0,0,1.0,0.0,0.0,1.0
171241.06,6.99,20,457330.0,126.0,0,2.0,0.0,0.0,1.0
171241.06,6.99,22,457330.0,126.0,0,2.0,0.0,0.0,1.0
145266.08,6.99,22,457330.0,126.0,0,2.0,0.0,0.0,1.0
171241.06,6.99,21,457330.0,126.0,0,2.0,0.0,0.0,1.0
124385.13,6.99,20,457330.0,126.0,0,2.0,0.0,0.0,1.0
171241.47,6.99,20,457330.0,126.0,0,2.0,0.0,0.0,1.0
171241.06,6.99,20,457330.0,126.0,0,2.0,0.0,0.0,1.0
104415.05,6.99,20,457330.0,126.0,0,2.0,0.0,0.0,1.0
20423.75,8.99,18,309500.0,154.0,0,3.0,0.0,0.0,1.0
115516.4,8.99,18,309500.0,154.0,0,3.0,0.0,0.0,1.0
40847.51,8.99,18,309500.0,154.0,0,3.0,0.0,0.0,1.0
34303.12,8.99,16,309500.0,154.0,0,3.0,0.0,0.0,1.0
21656.4,8.99,17,309500.0,154.0,0,3.0,0.0,0.0,1.0
40970.5,8.99,16,309500.0,154.0,0,3.0,0.0,0.0,1.0
57698.2,8.99,16,309500.0,154.0,0,3.0,0.0,0.0,1.0
40760.6,8.99,16,309500.0,154.0,0,3.0,0.0,0.0,1.0
20380.3,8.99,16,309500.0,154.0,0,3.0,0.0,0.0,1.0
28532.42,8.99,16,309500.0,154.0,0,3.0,0.0,0.0,1.0
34650.16,8.99,16,309500.0,154.0,0,3.0,0.0,0.0,1.0
28849.1,8.99,16,309500.0,154.0,0,3.0,0.0,0.0,1.0
77435.78,5.99,20,168156.0,107.0,0,2.0,1.0,0.0,0.0
37892.76,5.99,21,168156.0,107.0,0,2.0,1.0,0.0,0.0
1058.94,5.99,30,168156.0,107.0,0,2.0,1.0,0.0,0.0
51038.02,5.99,20,168156.0,107.0,0,2.0,1.0,0.0,0.0
57139.98,5.99,20,168156.0,107.0,0,2.0,1.0,0.0,0.0
79024.97,4.99,22,662505.0,138.0,0,3.0,0.0,0.0,1.0
52779.3,5.99,20,1025785.0,123.0,0,3.0,0.0,1.0,0.0
19249.56,5.99,18,1025785.0,123.0,0,3.0,0.0,1.0,0.0
999.0,5.99,30,1025785.0,123.0,0,3.0,0.0,1.0,0.0
214509.85,11.99,16,182359.0,113.0,0,1.0,0.0,1.0,0.0
25882.15,6.99,18,81196.0,140.0,0,3.0,0.0,1.0,0.0
38329.7,6.99,18,81196.0,140.0,0,3.0,0.0,1.0,0.0
19158.2,6.99,16,81196.0,140.0,0,3.0,0.0,1.0,0.0
19008.2,6.99,18,81196.0,140.0,0,3.0,0.0,1.0,0.0
19008.2,6.99,16,81196.0,140.0,0,3.0,0.0,1.0,0.0
21649.3,6.99,16,81196.0,140.0,0,3.0,0.0,1.0,0.0
65264.15,5.99,22,337117.0,148.0,0,2.0,0.0,1.0,0.0
48447.99,5.99,19,337117.0,148.0,0,2.0,0.0,1.0,0.0
47920.89,5.99,18,337117.0,148.0,0,2.0,0.0,1.0,0.0
3753.2,5.99,16,261826.0,108.0,0,3.0,1.0,0.0,0.0
63178.99,5.99,16,261826.0,108.0,0,3.0,1.0,0.0,0.0
70845.8,5.99,16,261826.0,108.0,0,3.0,1.0,0.0,0.0
25039.75,8.99,18,261457.0,114.0,0,1.0,0.0,0.0,1.0
25399.8,8.99,18,261457.0,114.0,0,1.0,0.0,0.0,1.0
44902.1,8.99,18,221023.0,119.0,0,1.0,0.0,0.0,1.0
50857.1,8.99,18,221023.0,119.0,0,1.0,0.0,0.0,1.0
7155.82,6.99,25,513088.0,111.0,0,2.0,0.0,0.0,1.0
1986.29,6.99,25,513088.0,111.0,0,2.0,0.0,0.0,1.0
8336.61,6.99,26,513088.0,111.0,0,2.0,0.0,0.0,1.0
90136.0,5.99,149,473085.0,144.0,0,0.0,0.0,0.0,1.0
67420.5,5.99,138,473085.0,144.0,0,0.0,0.0,0.0,1.0
185251.5,11.99,31,828034.0,135.0,0,3.0,0.0,0.0,1.0
236710.25,11.99,31,828034.0,135.0,0,3.0,0.0,0.0,1.0
186030.0,11.99,32,828034.0,135.0,0,3.0,0.0,0.0,1.0
186030.0,11.99,30,828034.0,135.0,0,3.0,0.0,0.0,1.0
186030.0,11.99,32,828034.0,135.0,0,3.0,0.0,0.0,1.0
36843.0,6.99,46,219373.0,105.0,0,3.0,0.0,1.0,0.0
36843.0,6.99,45,219373.0,105.0,0,3.0,0.0,1.0,0.0
55264.5,6.99,46,219373.0,105.0,0,3.0,0.0,1.0,0.0
44868.09,5.99,18,378425.0,134.0,0,3.0,0.0,0.0,1.0
38623.2,5.99,17,378425.0,134.0,0,3.0,0.0,0.0,1.0
119076.0,6.99,16,846345.0,114.0,0,3.0,0.0,0.0,1.0
101785.8,4.99,16,222326.0,115.0,0,2.0,1.0,0.0,0.0
95405.6,4.99,16,222326.0,115.0,0,2.0,1.0,0.0,0.0
63352.25,4.99,16,222326.0,115.0,0,2.0,1.0,0.0,0.0
19988.0,6.99,18,174962.0,108.0,0,3.0,0.0,0.0,1.0
945.6,6.99,30,174962.0,108.0,0,3.0,0.0,0.0,1.0
25983.0,6.99,16,174962.0,108.0,0,3.0,0.0,0.0,1.0
25900.0,6.99,16,174962.0,108.0,0,3.0,0.0,0.0,1.0
19975.5,6.99,16,174962.0,108.0,0,3.0,0.0,0.0,1.0
24946.9,6.99,16,85348.0,149.0,0,3.0,0.0,1.0,0.0
64816.3,5.99,18,193766.0,112.0,0,3.0,0.0,1.0,0.0
62964.9,5.99,18,480840.0,132.0,0,2.0,0.0,0.0,1.0
945.6,5.99,30,480840.0,132.0,0,2.0,0.0,0.0,1.0
52755.78,5.99,19,480840.0,132.0,0,2.0,0.0,0.0,1.0
